SciName,Origin,Origin2,Notes
Hydrophyllum_fendleri,NTm,,
ÌÑTriticosecale_rimpaui,NA,,Sterile hybrid; seeded post-fire; drop from analysis?
ÌÑTriticosecale_rimpaui_(dead),NA,,Drop from analyses -- not a species
Ipomopsis_aggregata,CFP,,
Iris_missouriensis,NTm,,
Jamesia_americana,CFP,,
Juncus_arcticus,NTm,,Weber 2003: oroboreal
Juniperus_communis,NTm,,
Koeleria_macrantha,NTm,,
Lactuca_serriola,NTm,,
Laennecia_schiedeana,NA,,
Lappula_occidentalis,CFP,,
Leucocrinum_montanum,NTm,,
Leucopoa_kingii,NA,NTm,Syn. Festuca kingii; in R&A 1978; Weber 2003: Leucopoa is a diverse genus in Asia
Liatris_punctata,NA,,
Linaria_vulgaris,NTm,,
Linnaea_borealis,NTm,,
Lithospermum_multiflorum,Unk,,"Weber 2003: The genus Lithospermum is Eurasian, but N. American species are endemic"
Lonicera_involucrata,NTm,,
Lupinus_argenteus,NTm,,
Machaeranthera_bigelovii,WTD,,
Maianthemum_stellatum,NTm,,
Matricaria_discoidea,NTm,,
Mentha_arvensis,NTm,,
Mentzelia_speciosa,WTD,,
Mertensia_ciliata,Unk,,"Weber 2003: one Asiatic species, resembling M. ciliata"
Mertensia_lanceolata,Unk,,"Weber 2003: one Asiatic species, resembling M. ciliata"
Mirabilis_hirsuta,WTD,,
Mirabilis_linearis,WTD,,
Moehringia_lateriflora,NTm,,
Moehringia_macrophylla,NTm,,
Monarda_fistulosa,NotCFP,,
Monarda_pectinata,NotCFP,,
Muhlenbergia_montana,WTD,,
Muhlenbergia_racemosa,WTD,,
Noccaea_montana,NA,,"Syn. Thlaspi montanum; Weber 2003: belongs to a group of species with a disjunct oroboreal range, including Asian species"
Oenothera_caespitosa,CFP,,
Oenothera_coronopifolia,CFP,,
Oenothera_villosa,CFP,,
Oreochrysum_parryi,NA,,
Orthocarpus_luteus,NTm,,
Oryzopsis_asperifolia,NA,,
Oxalis_dillenii,NTm,,
Oxytropis,NTm,,Weber 2003: Oxytropis is a diverse genus in Asia
Oxytropis_lambertii,NTm,,Weber 2003: Oxytropis is a diverse genus in Asia
Oxytropis_multiceps,NTm,,Weber 2003: Oxytropis is a diverse genus in Asia
Packera_cana,NA,NTm,Syn. Senecio canus; in R&A 1978
Packera_fendleri,NA,,
Paronychia_jamesii,SAm,,
Pascopyrum_smithii,Unk,,
Pedicularis_canadensis,NTm,,"Weber 2003: Pedicularis is a diverse genus in Asia, and in w. N. America there was a center of diversity"
Pediocactus_simpsonii,NA,,
Penstemon,NTm,,
Penstemon_glaber,NTm,,
Penstemon_secundiflorus,NTm,,
Penstemon_virens,NTm,,
Pericome_caudata,WTD,,
Phacelia_alba,CFP,,
Phacelia_bakeri,CFP,,
Phacelia_heterophylla,CFP,,
Phemeranthus_parviflorus,NA,,
Phleum_pratense,NTm,,
Physaria_vitulifera,NotCFP,,
Physocarpus_monogynus,Unk,,
Piptatherum_micranthum,Unk,,
Poa,NTm,,
Poa_annua,NTm,,
Poa_compressa,NTm,,
Poa_fendleriana,NTm,,
Poa_nemoralis,NTm,,
Poa_palustris,NTm,,
Poa_pratensis,NTm,,
Poa_reflexa,NTm,,
poa_sylvestris,NA,,
Polygonum_convolvulus,NTm,,
Polygonum_douglasii,NTm,,
Potentilla_concinna,NTm,,
Potentilla_fissa,NTm,,
Potentilla_hippiana,NTm,,
Potentilla_norvegica,NTm,,
Potentilla_pulcherrima,NTm,,
Prunus_virginiana,NA,NTm,in R&A 1978
Pseudocymopterus_montanus,NA,,
Pseudognaphalium_macounii,NA,,
Pseudoroegneria_spicata,Unk,,
Ptilagrostis_porteri,Unk,,Weber 2003: Ptilogrostis is a diverse genus in Asia
Pulsatilla_patens,NA,,"Weber 2003: Pulsatilla is a diverse genus in Eurasia, and P. patens is also in Asia"
Pyrola_chlorantha,NTm,,
Ribes,NTm,,
Ribes_cereum,NTm,,
Ribes_inerme,NTm,,
Ribes_leptanthum,NTm,,
Rorippa_sphaerocarpa,NTm,,
Rosa,NTm,,
Rubus,NTm,,
Rubus_deliciosus,NTm,,
Rubus_idaeus,NTm,,
Rudbeckia_hirta,CFP,,
Rudbeckia_laciniata,CFP,,
Salix,NTm,,Weber 2003: Salix is a diverse genus in Asia
Saxifraga_bronchialis,NTm,,
Schizachyrium_scoparium,NotCFP,,
Scutellaria_brittonii,NTm,,
Sedum_lanceolatum,NTm,,
Selaginella_densa,Unk,,Weber 2003: very similar to Asian species S. sibirica 
Senecio,NTm,,
Senecio_eremophilus,NTm,,
Senecio_spartioides,NTm,,
Silene,NTm,,
Silene_antirrhina,NTm,,
Silene_scouleri,NTm,,
Sisyrinchium_montanum,WTD,,
Solanum_triflorum,WTD,,
Solidago,NTm,,
Sonchus_asper,Unk,,
Sporobolus_cryptandrus,WTD,,
Stachys_palustris,NTm,,
Symphoricarpos_albus,NTm,,Weber 2003: one Symphoricarpos species in China
Symphyotrichum_laeve,NA,,
Symphyotrichum_porteri,NA,,
Symphyotrichum_spathulatum,NA,NTm,Syn. Aster occidentalis; in R&A 1978
Taraxacum_officinale,NTm,,
Thalictrum_fendleri,NTm,,Weber 2003: Some Thalictrum species occur in Asia
Townsendia_grandiflora,NotCFP,,Weber 2003: Townsendia is a N. American genus that may be related to the Asian genus Heteropappus
Tragopogon_dubius,Unk,,
